331,Jurassic Park III,12,Adventure
332,Inspector Gadget,12,Adventure
334,Magnolia,12,Adventure
335,C'era una volta il West,12,Adventure
338,"Good bye, Lenin!",12,Adventure
342,Sommersturm,12,Adventure
345,Eyes Wide Shut,12,Adventure
346,????,12,Adventure
348,Alien,12,Adventure
350,The Devil Wears Prada,12,Adventure
364,Batman Returns,12,Adventure
377,A Nightmare on Elm Street,12,Adventure
380,Rain Man,12,Adventure
387,Das Boot,12,Adventure
388,Inside Man,12,Adventure
389,12 Angry Men,12,Adventure
391,Per un pugno di dollari,12,Adventure
392,Chocolat,12,Adventure
393,Kill Bill: Vol. 2,12,Adventure
395,AVP: Alien vs. Predator,12,Adventure
398,Capote,12,Adventure
400,Things to Do in Denver When You're Dead,12,Adventure
401,Garden State,12,Adventure
403,Driving Miss Daisy,12,Adventure
404,The Straight Story,12,Adventure
408,Snow White and the Seven Dwarfs,12,Adventure
409,The English Patient,12,Adventure
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12,Adventure
414,Batman Forever,12,Adventure
415,Batman & Robin,12,Adventure
421,The Life Aquatic with Steve Zissou,12,Adventure
423,The Pianist,12,Adventure
424,Schindler's List,12,Adventure
425,Ice Age,12,Adventure
429,"Il buono, il brutto, il cattivo",12,Adventure
431,Cube,12,Adventure
433,Mary Poppins,12,Adventure
435,The Day After Tomorrow,12,Adventure
436,"María, llena eres de gracia",12,Adventure
440,Aliens vs Predator: Requiem,12,Adventure
451,Leaving Las Vegas,12,Adventure
453,A Beautiful Mind,12,Adventure
454,Romeo + Juliet,12,Adventure
455,Bend It Like Beckham,12,Adventure
462,Erin Brockovich,12,Adventure
464,Så som i himmelen,12,Adventure
468,My Own Private Idaho,12,Adventure
470,21 Grams,12,Adventure
473,Pi,12,Adventure
479,Shaft,12,Adventure
480,Monsoon Wedding,12,Adventure
489,Good Will Hunting,12,Adventure
492,Being John Malkovich,12,Adventure
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,12,Adventure
497,The Green Mile,12,Adventure
500,Reservoir Dogs,12,Adventure
503,Poseidon,12,Adventure
504,Monster,12,Adventure
507,Killing Zoe,12,Adventure
508,Love Actually,12,Adventure
509,Notting Hill,12,Adventure
510,One Flew Over the Cuckoo's Nest,12,Adventure
